,errors,samples_type
1070,1.0,train
1071,1.0,train
1072,1.0,train
1073,1.0,train
1074,1.0,train
1075,1.0,train
1076,1.0,train
1077,1.0,train
1078,1.0,train
1079,1.0,train
1080,1.0,train
1081,1.0,train
1082,1.0,train
1083,1.0,train
1084,1.0,train
1085,1.0,train
1086,1.0,train
1087,1.0,train
1088,1.0,train
1089,1.0,train
1090,1.0,train
1091,1.0,train
1092,1.0,train
1093,1.0,train
1094,1.0,train
1095,1.0,train
1096,1.0,train
1097,1.0,train
1098,1.0,train
1099,1.0,train
1100,1.0,train
1101,1.0,train
1102,1.0,train
1103,1.0,train
1104,1.0,train
1105,1.0,train
1106,1.0,train
1107,1.0,train
1108,1.0,train
1109,1.0,train
1110,1.0,train
1111,1.0,train
1112,1.0,train
1113,1.0,train
1114,1.0,train
1115,1.0,train
1116,1.0,train
1117,1.0,train
1118,1.0,train
1119,1.0,train
1120,1.0,train
1121,1.0,train
1122,1.0,train
1123,1.0,train
1124,1.0,train
1125,1.0,train
1126,1.0,train
1127,1.0,train
1128,1.0,train
1129,1.0,train
1130,1.0,train
1131,1.0,train
1132,1.0,train
1133,1.0,train
1134,1.0,train
1135,1.0,train
1136,1.0,train
1137,1.0,train
1138,1.0,train
1139,1.0,train
1140,1.0,train
1141,1.0,train
1142,1.0,train
1143,1.0,train
1144,1.0,train
1145,1.0,train
1146,1.0,train
1147,1.0,train
1148,1.0,train
1149,1.0,train
1150,1.0,train
1151,1.0,train
1152,1.0,train
1153,1.0,train
1154,1.0,train
1155,1.0,train
1156,1.0,train
1157,1.0,train
1158,1.0,train
1159,1.0,train
1160,1.0,train
1161,1.0,train
1162,1.0,train
1163,1.0,train
1164,1.0,train
1165,1.0,train
1166,1.0,train
1167,1.0,train
1168,1.0,train
1169,1.0,train
1170,1.0,train
1171,1.0,train
1172,1.0,train
1173,1.0,train
1174,1.0,train
1175,1.0,train
1176,1.0,train
1177,1.0,train
1178,1.0,train
1179,1.0,train
1180,1.0,train
1181,1.0,train
1182,1.0,train
1183,1.0,train
1184,1.0,train
1185,1.0,train
1186,1.0,train
1187,1.0,train
1188,1.0,train
1189,1.0,train
1190,1.0,train
1191,1.0,train
1192,1.0,train
1193,1.0,train
1194,1.0,train
1195,1.0,train
1196,1.0,train
1197,1.0,train
1198,1.0,train
1199,1.0,train
1200,1.0,train
1201,1.0,train
1202,1.0,train
1203,1.0,train
1204,1.0,train
1205,1.0,train
1206,1.0,train
1207,1.0,train
1208,1.0,train
1209,1.0,train
1210,1.0,train
1211,1.0,train
1212,1.0,train
1213,1.0,train
1214,1.0,train
1215,1.0,train
1216,1.0,train
1217,1.0,train
1218,1.0,train
1219,1.0,train
1220,1.0,train
1221,1.0,train
1222,1.0,train
1223,1.0,train
1224,1.0,train
1225,1.0,train
1226,1.0,train
1227,1.0,train
1228,1.0,train
1229,1.0,train
1230,1.0,train
1231,1.0,train
1232,1.0,train
1233,1.0,train
1234,1.0,train
1235,1.0,train
1236,1.0,train
1237,1.0,train
1238,1.0,train
1239,1.0,train
1240,1.0,train
1241,1.0,train
1242,1.0,train
1243,1.0,train
1244,1.0,train
1245,1.0,train
1246,1.0,train
1247,1.0,train
1248,1.0,train
1249,1.0,train
1250,1.0,train
1251,1.0,train
1252,1.0,train
1253,1.0,train
1254,1.0,train
1255,1.0,train
1256,1.0,train
1257,1.0,train
1258,1.0,train
1259,1.0,train
1260,1.0,train
1261,1.0,train
1262,1.0,train
1263,1.0,train
1264,1.0,train
1265,1.0,train
1266,1.0,train
1267,1.0,train
1268,1.0,train
1269,1.0,train
1270,1.0,train
1271,1.0,train
1272,1.0,train
1273,1.0,train
1274,1.0,train
1275,1.0,train
1276,1.0,train
1277,1.0,train
1278,1.0,train
1279,1.0,train
1280,1.0,train
1281,1.0,train
1282,1.0,train
1283,1.0,train
1284,1.0,train
1285,1.0,train
1286,1.0,train
1287,1.0,train
1288,1.0,train
1289,1.0,train
1290,1.0,train
1291,1.0,train
1292,1.0,train
1293,1.0,train
1294,1.0,train
1295,1.0,train
1296,1.0,train
1297,1.0,train
1298,1.0,train
1299,1.0,train
1300,1.0,train
1301,1.0,train
1302,1.0,train
1303,1.0,train
1304,1.0,train
1305,1.0,train
1306,1.0,train
1307,1.0,train
1308,1.0,train
1309,1.0,train
1310,1.0,train
1311,1.0,train
1312,1.0,train
1313,1.0,train
1314,1.0,train
1315,1.0,train
1316,1.0,train
1317,1.0,train
1318,1.0,train
1319,1.0,train
1320,1.0,train
1321,1.0,train
1322,1.0,train
1323,1.0,train
1324,1.0,train
1325,1.0,train
1326,1.0,train
1327,1.0,train
1328,1.0,train
1329,1.0,train
1330,1.0,train
1331,1.0,train
1332,1.0,train
1333,1.0,train
1334,1.0,train
1335,1.0,train
1336,1.0,train
1337,1.0,train
1338,1.0,train
1339,1.0,train
1340,1.0,train
1341,1.0,train
1342,1.0,train
1343,1.0,train
1344,1.0,train
1345,1.0,train
1346,1.0,train
1347,1.0,train
1348,1.0,train
1349,1.0,train
1350,1.0,train
1351,1.0,train
1352,1.0,train
1353,1.0,train
1354,1.0,train
1355,1.0,train
1356,1.0,train
1357,1.0,train
1358,1.0,train
1359,1.0,train
1360,1.0,train
1361,1.0,train
1362,1.0,train
1363,1.0,train
1364,1.0,train
1365,1.0,train
1366,1.0,train
1367,1.0,train
1368,1.0,train
1369,1.0,train
1370,1.0,train
1371,1.0,train
1372,1.0,train
1373,1.0,train
1374,1.0,train
1375,1.0,train
1376,1.0,train
1377,1.0,train
1378,1.0,train
1379,1.0,train
1380,1.0,train
1381,1.0,train
1382,1.0,train
1383,1.0,train
1384,1.0,train
1385,1.0,train
1386,1.0,train
1387,1.0,train
1388,1.0,train
1389,1.0,train
1390,1.0,train
1391,1.0,train
1392,1.0,train
1393,1.0,train
1394,1.0,train
1395,1.0,train
1396,1.0,train
1397,1.0,train
1398,1.0,train
1399,1.0,train
1400,1.0,train
1401,1.0,train
1402,1.0,train
1403,1.0,train
1404,1.0,train
1405,1.0,train
1406,1.0,train
1407,1.0,train
1408,1.0,train
1409,1.0,train
1410,1.0,train
1411,1.0,train
1412,1.0,train
1413,1.0,train
1414,1.0,train
1415,1.0,train
1416,1.0,train
1417,1.0,train
1418,1.0,train
1419,1.0,train
1420,1.0,train
1421,1.0,train
1422,1.0,train
1423,1.0,train
1424,1.0,train
1425,1.0,train
1426,1.0,train
1427,1.0,train
1428,1.0,train
1429,1.0,train
1430,1.0,train
1431,1.0,train
1432,1.0,train
1433,1.0,train
1434,1.0,train
1435,1.0,train
1436,1.0,train
1437,1.0,train
1438,1.0,train
1439,1.0,train
1440,1.0,train
1441,1.0,train
1442,1.0,train
1443,1.0,train
1444,1.0,train
1445,1.0,train
1446,1.0,train
1447,1.0,train
1448,1.0,train
1449,1.0,train
1450,1.0,train
1451,1.0,train
1452,1.0,train
1453,1.0,train
1454,1.0,train
1455,1.0,train
1456,1.0,train
1457,1.0,train
1458,1.0,train
1459,1.0,train
1460,1.0,train
1461,1.0,train
1462,1.0,train
1463,1.0,train
1464,1.0,train
1465,1.0,train
1466,1.0,train
1467,1.0,train
1468,1.0,train
1469,1.0,train
1470,1.0,train
1471,1.0,train
1472,1.0,train
1473,1.0,train
1474,1.0,train
1475,1.0,train
1476,1.0,train
1477,1.0,train
1478,1.0,train
1479,1.0,train
1480,1.0,train
1481,1.0,train
1482,1.0,train
1483,1.0,train
1484,1.0,train
1485,1.0,train
1486,1.0,train
1487,1.0,train
1488,1.0,train
1489,1.0,train
1490,1.0,train
1491,1.0,train
1492,1.0,train
1493,1.0,train
1494,1.0,train
1495,1.0,train
1496,1.0,train
1497,1.0,train
1498,1.0,train
1499,1.0,train
1500,1.0,train
1501,1.0,train
1502,1.0,train
1503,1.0,train
1504,1.0,train
1505,1.0,train
1506,1.0,train
1507,1.0,train
1508,1.0,train
1509,1.0,train
1510,1.0,train
1511,1.0,train
1512,1.0,train
1513,1.0,train
1514,1.0,train
1515,1.0,train
1516,1.0,train
1517,1.0,train
1518,1.0,train
1519,1.0,train
1520,1.0,train
1521,1.0,train
1522,1.0,train
1523,1.0,train
1524,1.0,train
1525,1.0,train
1526,1.0,train
1527,1.0,train
1528,1.0,train
1529,1.0,train
1530,1.0,train
1531,1.0,train
1532,1.0,train
1533,1.0,train
1534,1.0,train
1535,1.0,train
1536,1.0,train
1537,1.0,train
1538,1.0,train
1539,1.0,train
1540,1.0,train
1541,1.0,train
1542,1.0,train
1543,1.0,train
1544,1.0,train
1545,1.0,train
1546,1.0,train
1547,1.0,train
1548,1.0,train
1549,1.0,train
1550,1.0,train
1551,1.0,train
1552,1.0,train
1553,1.0,train
1554,1.0,train
1555,1.0,train
1556,1.0,train
1557,1.0,train
1558,1.0,train
1559,1.0,train
1560,1.0,train
1561,1.0,train
1562,1.0,train
1563,1.0,train
1564,1.0,train
1565,1.0,train
1566,1.0,train
1567,1.0,train
1568,1.0,train
1569,1.0,train
1570,1.0,train
1571,1.0,train
1572,1.0,train
1573,1.0,train
1574,1.0,train
1575,1.0,train
1576,1.0,train
1577,1.0,train
1578,1.0,train
1579,1.0,train
1580,1.0,train
1581,1.0,train
1582,1.0,train
1583,1.0,train
1584,1.0,train
1585,1.0,train
1586,1.0,train
1587,1.0,train
1588,1.0,train
1589,1.0,train
1590,1.0,train
1591,1.0,train
1592,1.0,train
1593,1.0,train
1594,1.0,train
1595,1.0,train
1596,1.0,train
1597,1.0,train
1598,1.0,train
1599,1.0,train
1600,1.0,train
1601,1.0,train
1602,1.0,train
1603,1.0,train
1604,1.0,train
1605,1.0,train
1606,1.0,train
1607,1.0,train
1608,1.0,train
1609,1.0,train
1610,1.0,train
1611,1.0,train
1612,1.0,train
1613,1.0,train
1614,1.0,train
1615,1.0,train
1616,1.0,train
1617,1.0,train
1618,1.0,train
1619,1.0,train
1620,1.0,train
1621,1.0,train
1622,1.0,train
1623,1.0,train
1624,1.0,train
1625,1.0,train
1626,1.0,train
1627,1.0,train
1628,1.0,train
1629,1.0,train
1630,1.0,train
1631,1.0,train
1632,1.0,train
1633,1.0,train
1634,1.0,train
1635,1.0,train
1636,1.0,train
1637,1.0,train
1638,1.0,train
1639,1.0,train
1640,1.0,train
1641,1.0,train
1642,1.0,train
1643,1.0,train
1644,1.0,train
1645,1.0,train
1646,1.0,train
1647,1.0,train
1648,1.0,train
1649,1.0,train
1650,1.0,train
1651,1.0,train
1652,1.0,train
1653,1.0,train
1654,1.0,train
1655,1.0,train
1656,1.0,train
1657,1.0,train
1658,1.0,train
1659,1.0,train
1660,1.0,train
1661,1.0,train
