qname,join_order,exec_sql,cost
33.pkl,Leading((mk (mc t))),/*+ Rows(t #952137) Rows(mk #1884971) Rows(mc #1087137) Rows(mk t #1703668) Rows(mc t #982572) Rows(mc mk t #9063141)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (movie_companies as mc CROSS JOIN title as t) WHERE  t.production_year>1950 AND t.id = mc.movie_id AND t.id = mk.movie_id,507207.05
11.pkl,Leading((mk (t mi_idx))),/*+ Rows(t #725186) Rows(mi_idx #192534) Rows(mk #1884971) Rows(mi_idx t #132538) Rows(mk t #1297582) Rows(mi_idx mk t #1266220)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (title as t CROSS JOIN movie_info_idx as mi_idx) WHERE  mi_idx.info_type_id=101 AND  t.production_year>1990 AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,265999.87
32.pkl,Leading(((mk t) mc)),/*+ Rows(t #1053462) Rows(mk #11008) Rows(mc #555201) Rows(mk t #4587) Rows(mc t #555201) Rows(mc mk t #12461)  */ explain (format json) SELECT COUNT(*) FROM (movie_keyword as mk CROSS JOIN title as t) CROSS JOIN movie_companies as mc WHERE  mc.company_type_id=2 AND  mk.keyword_id=398 AND t.id = mc.movie_id AND t.id = mk.movie_id,93144.69
24.pkl,Leading((ci (mc t))),/*+ Rows(t #1053462) Rows(ci #1105452) Rows(mc #1087137) Rows(ci t #1105452) Rows(mc t #1087137) Rows(ci mc t #2914662)  */ explain (format json) SELECT COUNT(*) FROM cast_info as ci CROSS JOIN (movie_companies as mc CROSS JOIN title as t) WHERE  ci.role_id=4 AND t.id = ci.movie_id AND t.id = mc.movie_id,446818.72
62.pkl,Leading((mk (mi ((mi_idx t) ci)))),/*+ Rows(t #163690) Rows(mi #619185) Rows(mi_idx #192170) Rows(ci #15101810) Rows(mk #1884971) Rows(mi t #96211) Rows(mi_idx t #29860) Rows(ci t #2346569) Rows(mk t #292893) Rows(mi mi_idx t #93708) Rows(ci mi t #3523854) Rows(mi mk t #1215504) Rows(ci mi_idx t #1093661) Rows(mi_idx mk t #285273) Rows(ci mk t #10727582) Rows(ci mi mi_idx t #1642356) Rows(mi mi_idx mk t #1183882) Rows(ci mi mk t #16109661) Rows(ci mi_idx mk t #4999784) Rows(ci mi mi_idx mk t #7508200)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (movie_info as mi CROSS JOIN ((movie_info_idx as mi_idx CROSS JOIN title as t) CROSS JOIN cast_info as ci)) WHERE  mi.info_type_id=3 AND  mi_idx.info_type_id=100 AND  t.production_year>2010 AND t.id = ci.movie_id AND t.id = mi.movie_id AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,1629025.72
21.pkl,Leading((ci t)),/*+ Rows(t #18267) Rows(ci #15101810) Rows(ci t #261866)  */ explain (format json) SELECT COUNT(*) FROM cast_info as ci CROSS JOIN title as t WHERE  t.production_year<1984 AND  t.production_year>1980 AND t.id = ci.movie_id,833463.68
19.pkl,Leading((ci (mk t))),/*+ Rows(t #575260) Rows(mk #1884971) Rows(ci #15101810) Rows(mk t #1029320) Rows(ci t #8246593) Rows(ci mk t #37700149)  */ explain (format json) SELECT COUNT(*) FROM cast_info as ci CROSS JOIN (movie_keyword as mk CROSS JOIN title as t) WHERE  t.production_year>2000 AND t.id = ci.movie_id AND t.id = mk.movie_id,1929781.29
51.pkl,Leading(((mk t) ci)),/*+ Rows(t #252285) Rows(mk #1884971) Rows(ci #15101810) Rows(mk t #451415) Rows(ci t #3616603) Rows(ci mk t #16533671)  */ explain (format json) SELECT COUNT(*) FROM (movie_keyword as mk CROSS JOIN title as t) CROSS JOIN cast_info as ci WHERE  t.kind_id=1 AND  t.production_year>1950 AND t.id = ci.movie_id AND t.id = mk.movie_id,5220014.13
18.pkl,Leading(((mk t) ci)),/*+ Rows(t #575260) Rows(mk #250) Rows(ci #15101810) Rows(mk t #137) Rows(ci t #8246593) Rows(ci mk t #5000)  */ explain (format json) SELECT COUNT(*) FROM (movie_keyword as mk CROSS JOIN title as t) CROSS JOIN cast_info as ci WHERE  mk.keyword_id=8200 AND  t.production_year>2000 AND t.id = ci.movie_id AND t.id = mk.movie_id,3010.28
59.pkl,Leading(((((mc t) ci) mi) mk)),/*+ Rows(t #163690) Rows(mi #1281848) Rows(mc #103) Rows(ci #3215175) Rows(mk #1884971) Rows(mi t #199178) Rows(mc t #16) Rows(ci t #499585) Rows(mk t #292893) Rows(mc mi t #100) Rows(ci mi t #1553135) Rows(mi mk t #2516355) Rows(ci mc t #125) Rows(mc mk t #148) Rows(ci mk t #2283902) Rows(ci mc mi t #388) Rows(mc mi mk t #926) Rows(ci mi mk t #7100317) Rows(ci mc mk t #570) Rows(ci mc mi mk t #1773)  */ explain (format json) SELECT COUNT(*) FROM (((movie_companies as mc CROSS JOIN title as t) CROSS JOIN cast_info as ci) CROSS JOIN movie_info as mi) CROSS JOIN movie_keyword as mk WHERE  ci.role_id=2 AND  mc.company_id=22956 AND  mi.info_type_id=16 AND  t.production_year>2010 AND t.id = ci.movie_id AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mk.movie_id,8340.31
